№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
372795,"Товарищество с ограниченной ответственностью ""Almamed Technology""",060940000588,,
372755,"Товарищество с ограниченной ответственностью ""Kaz Medical Group""",170340015150,,
372695,"Товарищество с ограниченной ответственностью ""Top Service Plus""",240440015417,,
372635,"Товарищество с ограниченной ответственностью ""SUNCAR PHARM Company""",200840007532,,
372615,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""A DENTAL+A""",210940028124,,
372475,"Товарищество с ограниченной ответственностью ""Academia-Denta""",240240025952,,
372395,ИП ЕРАЛИЕВ НУРЛАН,,820301300285,
372355,"Товарищество с ограниченной ответственностью ""Grand clinic Kst""",240540003566,,
372235,"Товарищество с ограниченной ответственностью ""MD Solution""",210440017587,,
372175,"Товарищество с ограниченной ответственностью ""EASY LIFE CONSULTING GROUP""",201140005276,,
372115,"Товарищество с ограниченной ответственностью ""MAYO clinic""",240140021450,,
372055,"Товарищество с ограниченной ответственностью ""Dobro Medical Group""",230740032045,,
371955,"ТОО ""Orda Medline"" клиника",221040045364,,
371855,ИП НУРЫШЕВА АЛТЫНАЙ,,850924400363,
371815,"Товарищество с ограниченной ответственностью ""Medium clinic""",151040008750,,
371775,ИП Доктор Майра,,810504400372,
371695,"Товарищество с ограниченной ответственностью ""Smart Deals""",171040039156,,
371655,"ТОО ""CaspiMed""",201040021571,,
371615,"""Педиатр Рудный"" жауапкершілігі шектеулі серіктестігі",240740012324,,
371535,ИП САЙДАХМЕТОВА З.П.,,831020400279,
371475,"Товарищество с ограниченной ответственностью ""Есту Сезім""",220640018693,,
371415,"""DoS diagnostic"" жауапкершілігі шектеулі серіктестігі",140940011693,,
371355,"Филиал Товарищества с ограниченной ответственностью ""Есту Сезім Тараз""",240441009011,,
371275,"Товарищество с ограниченной ответственностью ""Алнаир Центр""",240140029047,,
371235,"Товарищество с ограниченной ответственностью ""АЛНАИР МЕДИКАЛ""",141140012884,,
371175,"Филиал ""Берингер Ингельхайм Фарма Геселлшафт м.б.Х."" в Республике Казахстан",151041013900,,
371055,"""СатМед"" жауапкершілігі шектеулі серіктестігі",151040020908,,
371015,"Товарищество с ограниченной ответственностью ""Aiqyn clinic""",240540000096,,
370835,"""ІСКЕР МЕДСЕРВИС"" жауапкершілігі шектеулі серіктестігі",061240018082,,
