№,Организатор,Название объявления,Способ закупки,Вид предмета закупки,Дата начала приема заявок,Дата окончания приема заявок,Кол-во лотов,Сумма объявления,Статус
450320-1,"ФИЛИАЛ ПО ОБЛАСТИ ҰЛЫТАУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2023 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-14 16:00:00,2023-08-15 17:00:00,1,260 551 252.91,Завершено
450300-1,"ФИЛИАЛ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2023 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-17 17:10:48,2023-08-22 17:10:48,6,718 181 750.35,Завершено
428981-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","Размещение ГОБМП Кызылординская область 2023
Размещение ГОБМП Кызылординская область 2023",Закуп медицинских услуг,Услуга,2023-01-01 00:00:00,2023-08-14 10:27:47,2,1 459 315 164.65,Завершено
450200-1,"ФИЛИАЛ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-14 12:00:00,2023-08-16 13:00:00,6,268 533 234.84,Завершено
450180-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2023 год
2023 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2023-08-25 09:00:00,2023-08-29 10:00:00,9,240 092 034.67,Завершено
450120-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 ИНКАР (ЛС-23-184 снижение цены)
ДО-8 ИНКАР (ЛС-23-184 снижение цены)",Из одного источника,Товар,2023-08-11 10:00:00,2023-08-18 10:00:00,1,42 225 604.72,Отменено
450100-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 Алмерек (ЛС)
ДО-8 Алмерек (ЛС)",Из одного источника,Товар,2023-08-11 10:00:00,2023-08-18 10:00:00,7,8 111 883.00,Завершено
450060-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-10 12:00:00,2023-08-11 17:00:00,2,26 242 562.70,Завершено
450020-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 ББ ФАРМ
ДО-8 ББ ФАРМ",Из одного источника,Товар,2023-08-10 10:00:00,2023-08-17 10:00:00,1,3 069 219.15,Завершено
450000-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 РОДЖЕРС ФАРМА
ДО-8 РОДЖЕРС ФАРМА",Из одного источника,Товар,2023-08-10 10:00:00,2023-08-17 10:00:00,1,10 099 089.00,Завершено
449980-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 ОАД-27
ДО-8 ОАД-27",Из одного источника,Товар,2023-08-10 10:00:00,2023-08-17 10:00:00,1,2 744 232.00,Завершено
449960-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 ШТАДА
ДО-8 ШТАДА",Из одного источника,Товар,2023-08-10 10:00:00,2023-08-17 10:00:00,2,4 012 840.10,Завершено
449920-1,"ФИЛИАЛ ПО АТЫРАУСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2023 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-09 11:00:00,2023-08-10 11:00:00,1,24 854 000.00,Завершено
449900-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп медицинской техники
Медициналық техниканы сатып алу",Тендер,Товар,2023-09-08 09:00:00,2023-09-15 10:00:00,32,8 533 418 836.70,Завершено
449840-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2023 год
2023 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2023-08-22 09:00:00,2023-08-24 10:00:00,45,3 351 898 132.72,Завершено
449820-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 (АК НИЕТ ХУМИРА, поздний срок)
ДО-8 (АК НИЕТ ХУМИРА, поздний срок)",Из одного источника,Товар,2023-08-10 10:00:00,2023-08-17 10:00:00,1,37 906 914.40,Завершено
449800-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 (СТОФАРМ СИРАМЗА)
ДО-8 (СТОФАРМ СИРАМЗА)",Из одного источника,Товар,2023-08-09 10:00:00,2023-08-16 10:00:00,1,95 126 253.60,Завершено
449780-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 (ПЕНТАСА, поздний срок)
ДО-8 (ПЕНТАСА, поздний срок)",Из одного источника,Товар,2023-08-11 10:00:00,2023-08-18 10:00:00,1,1 732 040.00,Завершено
449760-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 (ПЕНТАСА, снижение цены)
ДО-8 (ПЕНТАСА, снижение цены)",Из одного источника,Товар,2023-08-09 10:00:00,2023-08-16 10:00:00,1,9 394 852.88,Завершено
449740-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-8 АК НИЕТ (СТЕЛАРА, поздний срок)
ДО-8 АК НИЕТ (СТЕЛАРА, поздний срок)",Из одного источника,Товар,2023-08-11 10:00:00,2023-08-18 10:00:00,1,110 935 584.00,Завершено
449720-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2023 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-04 17:00:00,2023-08-10 17:00:00,4,4 205 670 991.25,Завершено
